"ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd pledged","usd_pledged_real","usd_goal_real","diff_date"
2138199359,"Trilogy Tril Music: Debut Album & Tour","Music","Music","USD",2017-09-14,10000,2017-08-15 04:10:34,3256,"failed",9,"US",10,3256,10000,30
856468512,"The Narrative 2011 Spring Tour with Eisley","Pop","Music","USD",2011-04-24,5000,2011-03-24 21:01:36,8711.52,"successful",168,"US",8711.52,8711.52,5000,31
439492626,"Reilly's Life","Animation","Film & Video","USD",2015-05-16,15000,2015-04-15 06:21:36,15310,"successful",155,"US",15310,15310,15000,31
183347501,"CandyLicious Vegan Fruit Jellies","Food","Food","USD",2013-05-13,10000,2013-04-08 01:22:05,380,"failed",16,"US",380,380,10000,35
1358852186,"Apple pies","Food","Food","USD",2014-09-11,5000,2014-08-12 01:49:33,0,"failed",0,"US",0,0,5000,30
847058951,"Our shared Memory Palace Book crowdsourced memory experiment","Nonfiction","Publishing","USD",2014-03-15,420,2014-01-22 20:31:19,0,"failed",0,"US",0,0,420,52
714404743,"Coup multiplayer role playing mobile adventure game","Games","Games","USD",2012-03-12,475000,2012-02-23 18:18:07,12,"failed",2,"US",12,12,475000,18
298978702,"SilverAir Sock - Odorless Socks Made With Pure Silver","Footwear","Fashion","USD",2015-05-16,35000,2015-03-30 23:05:31,385268,"successful",5418,"US",385268,385268,35000,47
1669907809,"Help fund Union Canal's new EP!","Country & Folk","Music","GBP",2016-12-11,525,2016-11-11 09:07:35,574,"successful",53,"GB",22.34,714.27,653.29,30
1512805741,"Romsey Festival of Youth Music","Music","Music","GBP",2017-05-24,1000,2017-04-24 11:31:10,1035,"successful",38,"GB",0,1329.04,1284.09,30
206017676,"Gamer Review","Video Games","Games","USD",2015-01-17,100,2014-12-18 00:33:31,2,"failed",1,"US",2,2,100,30
787948260,"Ana Habib NY Babies","Fashion","Fashion","USD",2010-09-19,100,2010-08-20 04:47:45,203,"successful",10,"US",203,203,100,30
137186232,"Edward + Jane record ""As Family We Gather"" EP","Indie Rock","Music","USD",2016-09-07,6500,2016-08-08 20:30:38,7230,"successful",112,"US",165,7230,6500,30
110278707,"Guerilla Art Public Project (GAPP)","Public Art","Art","USD",2012-10-04,3000,2012-09-04 17:31:42,1013,"failed",42,"US",1013,1013,3000,30
179323711,"Zelda vs. Jesus","Journalism","Journalism","USD",2012-05-09,5000,2012-04-06 17:30:57,1281,"failed",35,"US",1281,1281,5000,33
64769586,"Discovery of a King","Pop","Music","USD",2015-07-09,10000,2015-06-09 16:08:32,1,"failed",1,"US",1,1,10000,30
228934229,"Farm-to-Table Beef, Made Simple","Food","Food","USD",2017-12-16,5000,2017-11-16 04:46:55,1236,"failed",11,"US",100,1236,5000,30
1233464898,"Cartegram - Find Your Adventure","Live Games","Games","USD",2014-07-23,1500,2014-06-23 02:06:03,5551,"successful",205,"US",5551,5551,1500,30
2062696196,"Ben Shive's ""The Cymbal Crashing Clouds""","Indie Rock","Music","USD",2011-01-03,8500,2010-12-04 19:27:43,13815,"successful",126,"US",13815,13815,8500,30
855263600,"Tinkr Tech","Makerspaces","Technology","USD",2014-08-16,3250,2014-07-22 17:33:59,3636,"successful",44,"US",3636,3636,3250,25
948315057,"Music Mayhem - The Furiously Fun Music Game Show","Live Games","Games","USD",2016-01-16,54000,2015-12-02 14:20:22,3573,"failed",51,"US",3573,3573,54000,45
2120784404,"iSLIC - iPhone, Android and Smartphones Mounting System","Product Design","Design","USD",2012-02-12,10000,2012-01-08 17:41:37,3372,"failed",52,"US",3372,3372,10000,35
356488368,"Gnome Sweet Gnome","Shorts","Film & Video","USD",2011-08-20,5000,2011-07-21 16:17:25,105,"failed",4,"US",105,105,5000,30
676717532,"Gluten Free is Easy--Let's Live it!","Food","Food","USD",2013-03-31,5000,2013-03-01 19:53:39,1720,"failed",56,"US",1720,1720,5000,30
1730449218,"""Quiet Life"" Musical Video","Film & Video","Film & Video","USD",2010-10-03,1000,2010-08-21 08:49:52,1140,"successful",34,"US",1140,1140,1000,43
898512144,"KING-IC","Apparel","Fashion","GBP",2016-02-19,5500,2016-01-20 23:36:34,0,"failed",0,"GB",0,0,7852.77,30
